,index,name,Coordinates,lat,lon
691,691,Kenley Aerodrome,"51.3063569, -0.094691299999999",51.3063569, -0.094691299999999
692,692,Signature Flight Support LHR - London Heathrow Airport,"51.460451, -0.438973",51.460451, -0.438973
693,693,A'n'B Cars,"51.12985800000001, -0.016441",51.12985800000001, -0.016441
694,694,Cheap Gatwick Taxi,"51.4850902, -0.373347699999999",51.4850902, -0.373347699999999
695,695,Newark Liberty International Airport,"40.68953140000001, -74.1744624",40.68953140000001, -74.1744624
696,696,LaGuardia Airport,"40.7769271, -73.8739659",40.7769271, -73.8739659
697,697,John F. Kennedy International Airport,"40.64131109999999, -73.77813909999999",40.64131109999999, -73.77813909999999
698,698,Sands Point Seaplane Base,"40.8376002, -73.7162416",40.8376002, -73.7162416
699,699,Teterboro Airport,"40.858332, -74.061497",40.858332, -74.061497
700,700,Linden Airport,"40.61571089999999, -74.243417",40.61571089999999, -74.243417
701,701,Lincoln Park Airport,"40.95104619999999, -74.31361009999999",40.95104619999999, -74.31361009999999
702,702,Morristown Airport (MMU),"40.7975621, -74.4157549",40.7975621, -74.4157549
703,703,Liberty State Park Heliport,"40.6930717, -74.05688049999999",40.6930717, -74.05688049999999
704,704,Essex County Airport,"40.87556470000001, -74.27826739999999",40.87556470000001, -74.27826739999999
705,705,U.S. Private Jets,"40.751939, -73.971778",40.751939, -73.971778
706,706,Central Jersey Regional Arprt-47n,"40.5272896, -74.5953428",40.5272896, -74.5953428
707,707,Saker Aviation Services,"40.701457, -74.009225",40.701457, -74.009225
708,708,AirportLostandFound.com,"40.7285182, -73.9592832",40.7285182, -73.9592832
709,709,Park2Go Airport Parking,"40.6735622, -74.19072059999999",40.6735622, -74.19072059999999
710,710,Soverel Park Heliport,"40.78291499999999, -74.2178881",40.78291499999999, -74.2178881
711,711,Buckeye State Street,"40.540555499999996, -74.2569444",40.540555499999996, -74.2569444
712,712,Hess Plaza,"40.5471221, -74.2958938",40.5471221, -74.2958938
713,713,Lembo Heliport,"40.90287660000001, -74.1329208",40.90287660000001, -74.1329208
714,714,Hazlet Township Police Heliport,"40.42649660000001, -74.14041999999999",40.42649660000001, -74.14041999999999
715,715,Tottenham/Volk Airport,"43.993352, -79.781904",43.993352, -79.781904
716,716,Toronto Pearson International Airport,"43.67771760000001, -79.6248197",43.67771760000001, -79.6248197
717,717,Billy Bishop Toronto City Airport,"43.6284819, -79.3959577",43.6284819, -79.3959577
718,718,Toronto Buttonville Municipal Airport,"43.8618446, -79.3695644",43.8618446, -79.3695644
719,719,Greater Toronto Airports Authority,"43.6712945, -79.5960509",43.6712945, -79.5960509
720,720,Toronto Airways Flight Training,"43.8657627, -79.3695377",43.8657627, -79.3695377
721,721,Downsview Airport,"43.743649, -79.465901",43.743649, -79.465901
722,722,Brampton Flight Centre and Flying Club,"43.7572317, -79.880116",43.7572317, -79.880116
723,723,Limo Comforts,"43.73355019999999, -79.7865322",43.73355019999999, -79.7865322
724,724,Markham Airport,"43.9352382, -79.26356249999999",43.9352382, -79.26356249999999
725,725,Precision Aero Components,"43.69861119999999, -79.6566136",43.69861119999999, -79.6566136
726,726,Aerocom Inspection Service Ltd,"43.5198836, -79.6517372",43.5198836, -79.6517372
727,727,Pearson Value Parking,"43.6899278, -79.6184492",43.6899278, -79.6184492
728,728,Signature Flight Support YYZ - Toronto Pearson Int'l Airport,"43.6892884, -79.6522227",43.6892884, -79.6522227
729,729,YYZ,"43.6574069, -79.60343000000002",43.6574069, -79.60343000000002
730,730,"DRIVING FORCE Vehicle Rentals, Sales & Leasing","43.65405699999999, -79.635268",43.65405699999999, -79.635268
731,731,Toronto Airport Limo Hire,"43.6024362, -79.7019455",43.6024362, -79.7019455
732,732,A Limo Services,"43.57408499999999, -79.75837",43.57408499999999, -79.75837
733,733,Porter FBO Limited,"43.630665, -79.398726",43.630665, -79.398726
734,734,Bayside Toronto Airport Limo,"43.6016067, -79.8136652",43.6016067, -79.8136652
735,735,Huashan Hospital Elevated Helicopter Airport,"31.216514, 121.443305",31.216514, 121.443305
736,736,Shanghai Ruijin Hospital Elevated Helicopter Airport,"31.210283, 121.466792",31.210283, 121.466792
737,737,Shanghai Hongqiao International Airport,"31.19220900000001, 121.334297",31.19220900000001, 121.334297
